TAPA,AG,Vc Bird Intl Airport Antigua,17.117,-61.783,http://weather.noaa.gov/weather/current/TAPA.html,http://weather.gov/xml/current_obs/TAPA.rss,http://weather.gov/xml/current_obs/TAPA.xml
TKPN,AG,Charlestown/Newcast,17.2,-62.583,http://weather.noaa.gov/weather/current/TKPN.html,http://weather.gov/xml/current_obs/TKPN.rss,http://weather.gov/xml/current_obs/TKPN.xml
TRPM,AG,Blackburne/Plymouth,16.75,-62.167,http://weather.noaa.gov/weather/current/TRPM.html,http://weather.gov/xml/current_obs/TRPM.rss,http://weather.gov/xml/current_obs/TRPM.xml
PAAK,AK,Atka Airport,52.217,-174.2,http://weather.noaa.gov/weather/current/PAAK.html,http://weather.gov/xml/current_obs/PAAK.rss,http://weather.gov/xml/current_obs/PAAK.xml
PAAP,AK,Port Alexander,56.26,-134.66,http://weather.noaa.gov/weather/current/PAAP.html,http://weather.gov/xml/current_obs/PAAP.rss,http://weather.gov/xml/current_obs/PAAP.xml
PAAQ,AK,Palmer,61.61,-149.09,http://weather.noaa.gov/weather/current/PAAQ.html,http://weather.gov/xml/current_obs/PAAQ.rss,http://weather.gov/xml/current_obs/PAAQ.xml
PABA,AK,Barter Island,70.14,-143.59,http://weather.noaa.gov/weather/current/PABA.html,http://weather.gov/xml/current_obs/PABA.rss,http://weather.gov/xml/current_obs/PABA.xml
PABE,AK,Bethel,60.78,-161.8,http://weather.noaa.gov/weather/current/PABE.html,http://weather.gov/xml/current_obs/PABE.rss,http://weather.gov/xml/current_obs/PABE.xml
PABI,AK,Delta Junction/Allan AAF,63.97,-145.7,http://weather.noaa.gov/weather/current/PABI.html,http://weather.gov/xml/current_obs/PABI.rss,http://weather.gov/xml/current_obs/PABI.xml
PABL,AK,Buckland Airport,65.99,-161.12,http://weather.noaa.gov/weather/current/PABL.html,http://weather.gov/xml/current_obs/PABL.rss,http://weather.gov/xml/current_obs/PABL.xml
PABN,AK,Nabesna / Devil Mountain,62.41,-143,http://weather.noaa.gov/weather/current/PABN.html,http://weather.gov/xml/current_obs/PABN.rss,http://weather.gov/xml/current_obs/PABN.xml
PABR,AK,Barrow/Wiley Post,71.29,-156.77,http://weather.noaa.gov/weather/current/PABR.html,http://weather.gov/xml/current_obs/PABR.rss,http://weather.gov/xml/current_obs/PABR.xml
PABT,AK,Bettles Airport,66.92,-151.52,http://weather.noaa.gov/weather/current/PABT.html,http://weather.gov/xml/current_obs/PABT.rss,http://weather.gov/xml/current_obs/PABT.xml
PABV,AK,Birchwood,61.42,-149.52,http://weather.noaa.gov/weather/current/PABV.html,http://weather.gov/xml/current_obs/PABV.rss,http://weather.gov/xml/current_obs/PABV.xml
PACD,AK,Cold Bay Airport,55.21,-162.72,http://weather.noaa.gov/weather/current/PACD.html,http://weather.gov/xml/current_obs/PACD.rss,http://weather.gov/xml/current_obs/PACD.xml
PACV,AK,Cordova/Merle K,60.5,-145.5,http://weather.noaa.gov/weather/current/PACV.html,http://weather.gov/xml/current_obs/PACV.rss,http://weather.gov/xml/current_obs/PACV.xml
